"hh_id","tot_hh","lat","lon","urban_rural","n_hh","n_adult","n_children","country"
"1_287_4",12774,6.96420449763536,-8.25034090317786,"rural",6,4,2,"CIV"
"2_90_13",12774,6.85817681718618,-6.43351217731833,"urban",2,2,0,"CIV"
"2_820_3",12774,5.06218168884516,-6.26137311570346,"rural",7,6,1,"CIV"
"1_411_3",12774,7.047686,-4.4114059,"rural",4,3,1,"CIV"
"1_61_10",12774,5.4349714,-4.0180006,"urban",2,2,0,"CIV"
"2_510_10",12774,8.0475585674867,-6.59056196920574,"rural",3,3,0,"CIV"
"1_889_7",12774,6.8902036,-7.5228813,"rural",2,2,0,"CIV"
"1_393_12",12774,9.3208354,-7.6285974,"rural",6,2,4,"CIV"
"2_374_12",12774,4.7202303,-6.7375121,"rural",3,2,1,"CIV"
"2_732_5",12774,6.55538714490831,-5.02935966476798,"urban",11,8,3,"CIV"
"1_543_14",12774,5.6679772,-5.5163171,"urban",6,5,1,"CIV"
"1_129_11",12774,7.2320462,-6.4766176,"rural",8,4,4,"CIV"
"1_647_13",12774,6.4288109,-7.4772718,"urban",2,2,0,"CIV"
"2_282_6",12774,6.70317468233407,-8.35979799740016,"rural",9,3,6,"CIV"
"2_422_1",12774,6.65440566837788,-4.70463970676064,"urban",10,4,6,"CIV"
"2_20_9",12774,5.43230138719082,-4.04569513164461,"urban",9,4,5,"CIV"
"1_229_3",12774,6.6446363,-3.382128,"rural",1,1,0,"CIV"
"2_926_9",12774,9.06507857143879,-5.1657899748534,"urban",7,3,4,"CIV"
"1_397_1",12774,9.495716,-7.5613702,"urban",23,11,12,"CIV"
"1_73_12",12774, , ,"urban",6,2,4,"CIV"
"1_963_6",12774,5.9099345,-4.0131192,"urban",2,1,1,"CIV"
"2_212_3",12774,7.6309272274375,-5.20525985397398,"rural",2,1,1,"CIV"
"1_169_3",12774,9.9034651,-5.7290637,"rural",7,2,5,"CIV"
"2_284_7",12774,6.98591358494014,-8.1578716635704,"rural",3,2,1,"CIV"
"1_991_10",12774,5.9932582,-6.9734545,"rural",11,4,7,"CIV"
"1_281_11",12774,6.7822874,-8.3111911,"urban",1,1,0,"CIV"
"2_784_7",12774,9.56613218877465,-3.88686343096197,"rural",4,2,2,"CIV"
"1_853_7",12774,5.2578502,-4.9920094,"urban",3,1,2,"CIV"
"2_328_2",12774,8.1053737,-3.0381198,"rural",3,3,0,"CIV"
"2_440_6",12774,6.92688667215407,-5.63740680925548,"rural",6,2,4,"CIV"
"1_611_6",12774,6.2141215,-6.0207561,"rural",2,1,1,"CIV"
"2_836_14",12774,5.3350141,-4.3837141,"urban",7,5,2,"CIV"
"2_1062_1",12774,6.65229057893157,-4.10183217376471,"rural",5,3,2,"CIV"
"1_769_7",12774,8.8190839,-2.8938465,"rural",4,3,1,"CIV"
"1_371_15",12774, , ,"urban",6,3,3,"CIV"
"1_11_1",12774,5.3072385,-3.9749248,"urban",5,2,3,"CIV"
"1_1075_7",12774,6.7056591,-4.3450238,"rural",5,3,2,"CIV"
"1_1005_5",12774,5.4438861,-6.6784382,"rural",2,1,1,"CIV"
"1_535_5",12774,5.69119126070291,-5.27622113004327,"rural",7,4,3,"CIV"
"1_933_11",12774,6.9763738,-3.8008332,"urban",2,2,0,"CIV"
"2_1074_12",12774,6.63527644705027,-4.30243156850338,"urban",6,3,3,"CIV"
"2_696_13",12774,9.75886743050069,-6.46490282379091,"urban",7,3,4,"CIV"
"1_381_1",12774, , ,"rural",8,2,6,"CIV"
"2_1066_12",12774,6.91028870176524,-4.05432522296906,"rural",4,3,1,"CIV"
"2_36_1",12774,5.36707450635731,-4.00816197507083,"urban",4,2,2,"CIV"
"1_381_13",12774, , ,"rural",3,2,1,"CIV"
"2_928_5",12774,8.76689634751529,-5.6864245980978,"urban",4,2,2,"CIV"
"2_226_7",12774,6.37844252865762,-3.34782206453383,"urban",1,1,0,"CIV"
"1_479_11",12774,5.9610619,-3.1750028,"rural",1,1,0,"CIV"
"2_826_15",12774,5.12964586727321,-5.85390365682542,"rural",1,1,0,"CIV"
"2_860_9",12774,5.1884447,-4.7191475,"rural",1,1,0,"CIV"
"2_138_10",12774,9.30724273435771,-5.78469176776707,"rural",4,2,2,"CIV"
"2_70_11",12774,5.33637205604464,-4.11858391016722,"urban",10,5,5,"CIV"
"2_42_19",12774,5.3857190022245,-3.99475562386215,"urban",3,2,1,"CIV"
"1_1039_5",12774,9.0289436,-4.3284741,"rural",5,2,3,"CIV"
"2_902_11",12774,8.37337760254741,-4.71708063036203,"urban",3,2,1,"CIV"
"1_49_8",12774, , ,"urban",2,1,1,"CIV"
"2_180_2",12774,7.78795698657632,-5.17208285629749,"urban",3,3,0,"CIV"
"2_618_1",12774,6.30785718094558,-5.88705416768789,"urban",11,5,6,"CIV"
"2_608_9",12774,6.12086915876716,-5.93843355774879,"urban",5,2,3,"CIV"
"2_784_11",12774,9.56613218877465,-3.88686343096197,"rural",6,3,3,"CIV"
"1_643_7",12774,6.6562091,-7.7682718,"urban",3,2,1,"CIV"
"1_879_4",12774, , ,"urban",2,2,0,"CIV"
"1_1045_12",12774,10.1160971,-5.5560709,"rural",5,2,3,"CIV"
"2_326_2",12774,8.1724073,-2.7085735,"urban",3,1,2,"CIV"
"1_415_12",12774,6.9465302,-4.3057936,"rural",7,3,4,"CIV"
"2_912_3",12774,8.42317968606949,-4.48366776108742,"rural",7,2,5,"CIV"
"1_531_3",12774, , ,"urban",2,2,0,"CIV"
"2_762_6",12774,8.19318722002208,-5.84327037446201,"rural",8,2,6,"CIV"
"2_378_6",12774,4.37138416338712,-7.45909536257386,"rural",3,2,1,"CIV"
"1_937_2",12774,7.0619633,-3.6986997,"rural",7,3,4,"CIV"
"1_49_3",12774, , ,"urban",3,3,0,"CIV"
"2_180_6",12774,7.78795698657632,-5.17208285629749,"urban",5,4,1,"CIV"
"2_68_2",12774,5.40590363088995,-4.01326932013035,"urban",1,1,0,"CIV"
"1_513_3",12774,8.0417033,-6.4091166,"rural",4,1,3,"CIV"
"2_956_2",12774,6.1172228,-3.8637052,"urban",7,3,4,"CIV"
"2_500_2",12774,5.28172665741295,-2.90985999628901,"rural",6,3,3,"CIV"
"2_786_8",12774,9.9873566,-7.1503882,"rural",9,3,6,"CIV"
"2_272_10",12774,7.40283091552556,-7.54251617006958,"urban",4,1,3,"CIV"
"1_315_11",12774,8.2049947,-3.2386161,"rural",1,1,0,"CIV"
"1_417_4",12774,7.1105037,-4.3297497,"rural",2,2,0,"CIV"
"1_1019_7",12774,5.6772465,-6.335459,"rural",5,2,3,"CIV"
"2_494_3",12774,5.2078393,-3.5582245,"rural",2,2,0,"CIV"
