"vague","grappe","menage","s09bq01","s09bq02","s09bq03"
1,377,3,207,1,100
1,210,2,207,1,50
1,210,2,211,1,3000
1,210,2,210,1,1500
1,23,9,207,1,200
1,23,9,203,1,500
1,23,9,211,1,2500
2,288,1,207,1,50
1,239,4,212,1,1200
1,239,4,206,1,100
1,239,4,207,1,50
1,239,4,205,1,3000
1,541,9,205,1,2500
1,541,9,207,1,25
1,541,9,206,1,100
1,541,9,209,1,2000
1,541,9,204,1,1000
2,581,1,205,1,2500
2,581,1,207,1,25
2,130,1,207,1,100
2,130,1,205,1,3500
2,130,1,217,1,200
2,240,1,212,1,2000
2,240,1,207,1,25
2,240,1,205,1,1000
2,292,5,207,1,50
2,292,5,204,1,2500
1,522,3,207,1,50
1,249,1,207,1,100
1,249,1,201,1,1500
1,249,1,205,1,1000
2,162,1,211,1,400
2,162,1,207,1,50
2,162,1,215,1,750
2,469,1,204,1,15000
2,469,1,207,1,75
2,469,1,213,1,4000
2,469,1,215,1,400
1,514,6,203,1,1400
1,514,6,216,1,700
1,514,6,212,1,2000
1,514,6,207,1,100
1,529,1,203,1,100
1,529,1,207,1,25
2,300,1,211,1,800
2,300,1,207,1,50
2,300,1,203,1,1200
2,300,1,210,1,1300
2,300,1,216,1,1400
2,478,1,217,1,600
2,478,1,205,1,4000
1,541,10,209,1,2085
1,541,10,203,1,1400
2,365,2,207,1,50
2,365,2,204,1,500
2,365,2,215,1,2000
2,365,2,206,1,350
2,365,2,212,1,5000
2,347,2,205,1,6000
2,347,2,217,1,350
2,347,2,207,1,100
2,365,3,204,1,2100
2,365,3,207,1,25
2,365,3,215,1,1500
2,365,3,203,1,2000
2,234,2,204,1,2000
2,234,2,207,1,25
2,90,1,206,1,300
2,90,1,207,1,100
2,34,1,211,1,12000
1,89,9,205,1,1000
1,89,9,207,1,50
1,244,1,215,1,5000
1,244,1,203,1,2000
1,244,1,207,1,25
1,244,1,206,1,650
1,244,1,205,1,600
2,326,2,201,1,600
2,326,2,207,1,100
1,19,12,211,1,2800
1,19,12,210,1,1000
1,19,12,206,1,100
1,19,12,214,1,10000
1,580,6,203,1,2000
1,580,6,217,1,75
1,580,6,204,1,2500
1,580,6,211,1,10000
1,580,6,207,1,50
1,546,6,205,1,3000
2,24,1,211,1,600
1,466,7,204,1,500
1,466,7,205,1,300
1,466,7,207,1,100
1,27,3,203,1,3000
1,27,3,211,1,550
2,80,2,203,1,700
1,208,11,211,1,500
1,208,11,207,1,75
1,208,11,203,1,2450
2,113,2,211,1,1500
2,113,2,210,1,2500
2,113,2,203,1,7000
2,113,2,212,1,1200
2,113,2,209,1,3000
2,140,3,203,1,28000
2,140,3,207,1,50
1,580,8,204,1,2000
1,580,8,201,1,700
1,580,8,205,1,2000
1,580,8,207,1,200
2,158,1,203,1,4000
1,222,2,205,1,700
1,222,2,207,1,50
1,327,9,209,1,
1,327,9,207,1,150
1,327,9,211,1,1600
1,327,9,210,1,7000
1,327,9,212,1,3500
1,430,2,205,1,2500
2,490,2,207,1,25
2,490,2,205,1,3000
2,128,1,203,1,3500
2,128,1,207,1,100
1,129,6,207,1,100
1,129,6,205,1,2100
1,129,6,217,1,450
2,10,2,211,1,300
2,10,2,210,1,12000
2,10,2,203,1,100
2,10,2,207,1,25
2,229,1,212,1,500
2,229,1,207,1,50
2,490,3,207,1,50
2,490,3,205,1,1400
2,547,3,209,1,3000
2,547,3,207,1,50
2,547,3,205,1,1500
2,334,1,207,1,50
2,334,1,204,1,3500
2,334,1,210,1,2100
1,321,3,209,1,5000
1,321,3,217,1,500
1,321,3,201,1,1000
1,321,3,207,1,50
1,321,3,205,1,1500
2,121,1,207,1,50
2,121,1,211,1,3500
2,121,1,203,1,1000
2,324,2,211,1,800
2,324,2,210,1,4000
2,324,2,203,1,1200
2,324,2,215,1,1500
2,324,2,216,1,1400
2,526,2,207,1,25
2,526,2,205,1,1400
2,431,3,212,1,1500
2,431,3,205,1,2000
2,431,3,207,1,25
1,233,7,207,1,75
1,208,9,211,1,600
1,208,9,201,1,350
2,560,1,212,1,10000
2,560,1,207,1,100
2,560,1,204,1,2000
1,546,3,205,1,2500
1,546,3,212,1,8000
1,546,3,207,1,50
2,590,1,207,1,50
2,590,1,201,1,700
2,590,1,206,1,350
2,590,1,205,1,2500
2,405,2,208,1,7000
2,405,2,217,1,350
2,405,2,209,1,1000
2,405,2,203,1,500
2,405,2,207,1,50
1,49,4,211,1,4200
1,49,4,216,1,400
1,582,12,217,1,1050
1,582,12,207,1,100
1,582,12,215,1,1000
1,582,12,209,1,4000
1,582,12,211,1,1800
1,582,12,205,1,1500
1,220,1,205,1,5000
2,144,1,207,1,25
2,144,1,215,1,300
2,144,1,211,1,700
2,144,1,216,1,600
2,144,1,210,1,1500
2,144,1,212,1,800
1,345,2,207,1,25
1,345,2,204,1,6000
2,174,1,204,1,1400
2,174,1,210,1,2800
2,96,1,205,1,500
2,96,1,207,1,25
1,81,4,210,1,7000
