"grappe","vague","coordonnes_gps__Latitude","coordonnes_gps__Longitude","coordonnes_gps__Accuracy","coordonnes_gps__Altitude","coordonnes_gps__Timestamp"
1062,2,6.65229057893157,-4.10183217376471,21,177,"2019-04-10T16:15:03"
870,2,6.90288614016026,-7.5971769914031,27,285,"2019-04-17T08:29:30"
648,2,6.5811513,-7.4091346,27,288,"2019-04-12T15:48:58"
988,2,6.3584107439965,-7.14845323003829,5,244,"2019-04-16T20:35:53"
426,2,7.3469757148996,-4.67099181376398,15,256,"2019-04-10T17:30:45"
840,2,5.3448642,-4.3370776,21,57,"2019-04-16T13:56:46"
1040,2,9.0040935,-4.6846507,16,367,"2019-04-08T15:38:21"
868,2,6.91475847736001,-7.63195702806115,33,277,"2019-04-11T09:14:00"
510,2,8.0475585674867,-6.59056196920574,5,320,"2019-04-10T16:18:58"
808,2,5.38021024782211,-5.51630423404276,8,104,"2019-04-17T10:43:04"
666,2,8.949433285743,-7.61968106031418,5,437,"2019-04-11T08:50:54"
166,2,10.1504348684102,-6.12918991595507,6,382,"2019-04-03T09:28:35"
220,2,6.72609533183277,-3.48743950948119,37,208,"2019-04-03T16:49:19"
1042,2,8.9802041,-4.770522,23,372,"2019-04-15T21:53:00"
226,2,6.37844252865762,-3.34782206453383,24,89,"2019-04-15T16:43:43"
330,2,8.4379489,-2.7198884,18,336,"2019-04-03T08:40:50"
326,2,8.1724073,-2.7085735,21,373,"2019-04-10T16:52:03"
170,2,9.51213236432523,-5.48016272485256,27,388,"2019-04-15T09:00:32"
778,2,8.62117666751146,-3.91450585797429,7,209,"2019-04-14T15:02:14"
780,2,8.51355219259858,-3.42730932869017,4,294,"2019-04-08T11:06:46"
168,2,9.98083854094148,-5.88509925641119,17,374,"2019-04-11T09:22:03"
90,2,6.85817681718618,-6.43351217731833,7,286,"2019-04-05T14:44:40"
292,2,7.00034202542156,-5.48753754235804,4,211,"2019-04-16T18:02:20"
92,2,6.87038543634117,-6.45850080996752,7,319,"2019-04-09T09:09:58"
228,2,6.74697385635227,-3.36821280419827,15,214,"2019-04-10T16:14:32"
624,2,6.32665548473597,-5.5280103161931,15,262,"2019-04-15T16:44:49"
98,2,6.79959259461612,-6.4000594150275,6,281,"2019-04-11T09:00:13"
180,2,7.78795698657632,-5.17208285629749,37,426,"2019-04-10T07:49:09"
282,2,6.70317468233407,-8.35979799740016,20,266,"2019-06-11T16:31:21"
288,2,6.8558105,-8.1505028,30,314,"2019-06-16T08:42:43"
832,2,5.0339117506519,-6.15017032250762,11,27,"2019-06-10T09:00:12"
324,2,8.4831486,-3.1283308,29,454,"2019-06-19T12:26:54"
738,2,8.9524078,-6.2559151,25,411,"2019-06-14T13:47:38"
784,2,9.56613218877465,-3.88686343096197,4,301,"2019-05-31T14:25:55"
538,2,5.91323265340179,-5.37958206608891,5,194,"2019-06-02T17:26:45"
904,2,8.36494100745767,-4.42528956569731,4,269,"2019-06-07T09:35:49"
214,2,7.37463561818004,-5.40308215655386,16,255,"2019-06-12T11:14:04"
210,2,7.5082586,-5.068544,21,290,"2019-05-22T16:00:41"
120,2,6.96979153901339,-6.89628610387444,6,289,"2019-05-24T17:18:52"
950,2,7.6474377,-3.9992772,15,249,"2019-05-28T08:11:01"
1046,2,10.3139219,-5.4471351,20,344,"2019-06-11T09:01:39"
124,2,7.38745385315269,-6.55650906264782,10,324,"2019-06-03T17:34:27"
734,2,6.56578657217324,-5.00765707343817,4,175,"2019-06-05T12:14:58"
24,2,5.25754935108125,-3.96238722838461,4,28,"2019-05-23T10:17:15"
212,2,7.6309272274375,-5.20525985397398,15,335,"2019-06-02T08:10:30"
430,2,6.91876523662359,-6.05705601163208,12,283,"2019-06-02T11:23:17"
756,2,8.5189723,-5.6836747,45,353,"2019-06-13T20:09:19"
758,2,8.46423315815628,-6.19868008419871,15,420,"2019-05-31T15:11:08"
442,2,7.04556,-5.7625951,21,211,"2019-05-24T08:59:19"
646,2,6.54853120911866,-7.50084746629,3,243,"2019-05-23T17:50:07"
1074,2,6.63527644705027,-4.30243156850338,8,196,"2019-06-07T14:42:06"
760,2,8.39815559796989,-6.04577816091478,14,374,"2019-06-07T14:17:25"
652,2,6.64756859187037,-7.70655487664044,9,305,"2019-06-02T17:01:03"
1078,2,6.60805550403893,-4.42890669219196,3,134,"2019-06-12T19:50:31"
754,2,8.03287661634386,-6.08554903417826,5,344,"2019-05-18T12:58:34"
32,2,5.34702704753727,-4.03455348685384,29,74,"2019-06-06T14:29:58"
