"HHID","region","urban","regurb","stratum","comm","h1aq1","h1aq2b","h1aq3b","h1aq4b","day","month","year","interview_result","reason","hh_status","spitoff09_10","spitoff10_11","wgt10"
"1021002810",0,1,11,1,"1020028","KAMPALA","KCCA","RUBAGA DIVISION","KASUBI",19,8,2011,1,,1,0,0,1417.28625488281
"1021002901",0,1,11,1,"1020029","KAMPALA","KCCA","RUBAGA DIVISION","LUBYA",11,4,2011,1,,1,0,0,454.9462890625
"1021002903",0,1,11,1,"1020029","KAMPALA","KCCA","RUBAGA DIVISION","LUBYA",11,4,2011,1,,1,0,0,347.923431396484
"1021002905",0,1,11,1,"1020029","KAMPALA","KCCA","RUBAGA DIVISION","LUBYA",11,4,2011,1,,1,0,0,347.923431396484
"1021002906",0,1,11,1,"1020029","KAMPALA","KCCA","RUBAGA DIVISION","LUBYA",11,4,2011,1,,1,0,0,347.923431396484
"1021002910",0,1,11,1,"1020029","KAMPALA","KCCA","RUBAGA DIVISION","LUBYA",11,4,2011,1,,1,0,0,347.923431396484
"1021003003",0,1,11,1,"1020030","KAMPALA","KCCA","RUBAGA DIVISION","LUNGUJJA",4,4,2011,1,,1,0,0,1699.59265136719
"1021003004",0,1,11,1,"1020030","KAMPALA","KCCA","RUBAGA DIVISION","LUNGUJJA",12,4,2011,1,,1,0,0,2241.40966796875
"1021003101",1,1,11,2,"1020031","WAKISO","KYADONDO","MAKINDYE","NDEJJE",26,10,2010,1,,1,0,0,2604.74877929688
"1021003103",0,1,11,1,"1020031","KAMPALA","KCCA","RUBAGA DIVISION","NAJJANANKUMBI I",26,10,2010,1,,1,0,0,2704.66577148438
"1021003109",0,1,11,1,"1020031","KAMPALA","KCCA","RUBAGA DIVISION","NAJJANANKUMBI I",28,10,2010,1,,1,0,0,2115.5908203125
"1021003201",0,1,11,1,"1020032","KAMPALA","KCCA","RUBAGA DIVISION","NAKULABYE",2,6,2011,1,,1,0,0,2472.33911132813
"1021003203",0,1,11,1,"1020032","KAMPALA","KCCA","RUBAGA DIVISION","NAKULABYE",2,6,2011,1,,1,0,0,5468.294921875
"1021003205",0,1,11,1,"1020032","KAMPALA","KCCA","RUBAGA DIVISION","NAKULABYE",2,6,2011,1,,1,0,0,5144.1552734375
"1021003309",0,1,11,1,"1020033","KAMPALA","KCCA","RUBAGA DIVISION","NATEETE",1,2,2011,1,,1,0,0,1668.81823730469
"1021003310",0,1,11,1,"1020033","KAMPALA","KCCA","RUBAGA DIVISION","NATEETE",17,12,2010,1,,1,0,0,819.41943359375
"1021003403",0,1,11,1,"1020034","KAMPALA","KCCA","RUBAGA DIVISION","RUBAGA",15,1,2011,1,,1,0,0,986.531494140625
"1021003407",0,1,11,1,"1020034","KAMPALA","KCCA","RUBAGA DIVISION","RUBAGA",28,1,2011,1,,1,0,0,438.839630126953
"1021003411",0,1,11,1,"1020034","KAMPALA","KCCA","RUBAGA DIVISION","RUBAGA",15,1,2011,1,,1,0,0,787.428527832031
"1021003412",0,1,11,1,"1020034","KAMPALA","KCCA","RUBAGA DIVISION","RUBAGA",15,1,2011,1,,1,0,0,986.531494140625
"1033000301",1,0,10,3,"1030003","KIBOGA","KIBOGA EAST","LWAMATA","KASEJJERE",26,4,2011,1,,1,0,0,1091.03820800781
"1033000302",1,0,10,3,"1030003","KIBOGA","KIBOGA EAST","LWAMATA","KASEJJERE",26,4,2011,1,,1,0,0,894.939208984375
"1033000303",1,0,10,3,"1030003","KIBOGA","KIBOGA EAST","LWAMATA","KASEJJERE",25,10,2010,1,,1,0,0,982.549621582031
