"sample_id","dry_matter_g_100g","date","location","type","total_length_mm","mass_g","local_name","latin_name","nutrient","value","unit"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","manganese",0.011,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","iron",0.095,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","cobalt", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","nickel", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","copper",0.012,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","zinc",0.26,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","arsenic",0.012,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","selenium",10,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","molybdenum", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","silver", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","cadmium", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","mercury",5e-04,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","lead", ,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","calcium",11,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","sodium",40,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","potassium",350,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","magnesium",26,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","phosphorus",160,"mg_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","vitamin_d3",31,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","vitamin_a1",1.2,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","vitamin_a2", ,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","protein",20,"g_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","iodine",78,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","folate",2.4,"mug_100g"
"T_001_C","21.8","20-01-2022","Kisumu","Cage","312","687","tilapia","Oreochromis niloticus","vitamin_b12",0.21,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","vanadium", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","chromium", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","manganese",0.012,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","iron",0.13,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","cobalt", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","nickel", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","copper",0.011,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","zinc",0.28,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","arsenic",0.0095,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","selenium",11,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","molybdenum", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","silver", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","cadmium", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","mercury",5e-04,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","lead", ,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","calcium",19,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","sodium",48,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","potassium",340,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","magnesium",27,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","phosphorus",170,"mg_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","vitamin_d3",31,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","vitamin_a1",1.4,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","vitamin_a2", ,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","protein",20,"g_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","iodine",29,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","folate",2.7,"mug_100g"
"T_002_C","22.2","20-01-2022","Kisumu","Cage","315","600","tilapia","Oreochromis niloticus","vitamin_b12",0.34,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","vanadium", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","chromium",5e-04,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","manganese",0.011,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","iron",0.099,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","cobalt", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","nickel", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","copper",0.011,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","zinc",0.29,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","arsenic",0.011,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","selenium",12,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","molybdenum", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","silver", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","cadmium", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","mercury",5e-04,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","lead", ,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","calcium",10,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","sodium",37,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","potassium",360,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","magnesium",27,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","phosphorus",170,"mg_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","vitamin_d3",14,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","vitamin_a1",1.5,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","vitamin_a2",0.6,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","protein",20,"g_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","iodine",33,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","folate",2.5,"mug_100g"
"T_003_C","22.9","20-01-2022","Kisumu","Cage","315","666","tilapia","Oreochromis niloticus","vitamin_b12",0.24,"mug_100g"
"T_004_C","22.5","20-01-2022","Kisumu","Cage","322","619","tilapia","Oreochromis niloticus","vanadium", ,"mg_100g"
