"sample_id","dry_matter_g_100g","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","nickel", ,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","copper",0.093,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","zinc",1.9,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","arsenic",0.31,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","selenium",100,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","molybdenum", ,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","silver", ,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","cadmium",0.0022,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","mercury",0.0011,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","lead",0.0026,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","iodine",34,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","calcium",1500,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","sodium",160,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","potassium",420,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","magnesium",63,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","phosphorus",1000,"mg_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","folate",47,"mug_100g"
"A_003_W","28.4","31-01-2022","Accra","Fresh","0","Accra","Herring","Sardinella maderensis","vitamin_b12",12,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","vitamin_d3",6,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","vitamin_a1",44,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","vitamin_a2",2.6,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","protein",17,"g_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","vanadium",0.038,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","chromium",0.0031,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","manganese",0.45,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","iron",3.2,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","cobalt",0.0023,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","nickel", ,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","copper",0.13,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","zinc",1.8,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","arsenic",0.25,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","selenium",50,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","molybdenum",0.004,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","silver", ,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","cadmium",0.007,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","mercury",0.001,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","lead",0.0023,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","iodine",51,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","calcium",870,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","sodium",160,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","potassium",370,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","magnesium",62,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","phosphorus",660,"mg_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","folate",64,"mug_100g"
"A_004_W","24","31-01-2022","Accra","Fresh","0","Accra","Anchovy","Engraulis encrasicolus","vitamin_b12",15,"mug_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","vitamin_d3",7,"mug_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","vitamin_a1",10,"mug_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","vitamin_a2",0.6,"mug_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","protein",21,"g_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","vanadium",0.014,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","chromium",0.0016,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","manganese",0.043,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","iron",2.2,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","cobalt", ,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","nickel", ,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","copper",0.078,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","zinc",1.5,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","arsenic",0.15,"mg_100g"
"A_005_W","34","31-01-2022","Accra","Fresh, gutted","0","Accra","Mackerel","Scomberomorus tritor","selenium",140,"mug_100g"
