"sample_id","date","location","type","days_processed","catch_source","local_name","latin_name","nutrient","value","unit"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","molybdenum",0.03,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","silver", ,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","cadmium",0.003,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","mercury",0.01,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","lead", ,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","iodine",130,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","calcium",14000,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","sodium",750,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","potassium",2800,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","magnesium",420,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","phosphorus",8000,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_d3",70,"mg_kg"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","folate",220,"mg_100g"
"K_003_W","20-01-2022","Kisumu","Fresh","0","Lake Victoria","Fulu","Haplochromines","vitamin_b12",80,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_a1",330,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vitamin_a2",120,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","protein",63,"g_100g"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","vanadium",0.18,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","chromium",0.11,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","manganese",20,"mg_kg"
"K_002","20-01-2022","Kisumu","Sun-dried","1","Uyoma beach","Omena","Rastrineobola argenteus","iron",51,"mg_kg"
