sample_unit,sample_id,interview_sheet,date,location,market,stall,type,days_processed,catch_source,local_name,latin_name,mean_total_length_mm,mass_g,sample_mass_inbag_g,bag_mass_g,sample_mass_g,number_fish
V_002,V_002_A,dried_012,03/02/2022,Lake Volta,Akosombo,2,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.4,,108,5,103,
V_002,V_002_B,dried_012,03/02/2022,Lake Volta,Akosombo,2,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.4,,115,5,110,
V_002,V_002_C,dried_012,03/02/2022,Lake Volta,Akosombo,2,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.4,,111,5,106,
V_002,V_002_D,dried_012,03/02/2022,Lake Volta,Akosombo,2,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.4,,104,5,99,
V_002,V_002_E,dried_012,03/02/2022,Lake Volta,Akosombo,2,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.4,,120,5,115,
V_003,V_003_A,dried_013,03/02/2022,Lake Volta,Akosombo,3,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.3,,108,5,103,
V_003,V_003_B,dried_013,03/02/2022,Lake Volta,Akosombo,3,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.3,,112,5,107,
V_003,V_003_C,dried_013,03/02/2022,Lake Volta,Akosombo,3,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.3,,111,5,106,
V_003,V_003_D,dried_013,03/02/2022,Lake Volta,Akosombo,3,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.3,,113,5,108,
V_003,V_003_E,dried_013,03/02/2022,Lake Volta,Akosombo,3,Fried,1,Lake Volta,One man thousand,Sierrathrissa leonensis,14.3,,114,5,109,
S_001_D,S_001_D,,2023,Seychelles,,,Sun-dried,,Coral reef,Kordonyen,Siganus sutor,,,,,,
S_002_D,S_002_D,,2023,Seychelles,,,Sun-dried,,Coral reef,Kordonyen,Siganus sutor,,,,,,
M_001_D,M_001_D,,2023,Lake Malawi,,,Sun-dried,,Lake Malawi,Usipa,Engraulicypris sardella,,,,,,
M_002_D,M_002_D,,2023,Lake Malawi,,,Sun-dried,,Lake Malawi,Usipa,Engraulicypris sardella,,,,,,
M_003_D,M_003_D,,2023,Lake Malawi,,,Sun-dried,,Lake Malawi,Usipa,Engraulicypris sardella,,,,,,
M_004_D,M_004_D,,2023,Lake Malawi,,,Sun-dried,,Lake Malawi,Usipa,Engraulicypris sardella,,,,,,
M_005_D,M_005_D,,2023,Lake Malawi,,,Sun-dried,,Lake Malawi,Usipa,Engraulicypris sardella,,,,,,
M_006_D,M_006_D,,2023,Lake Malawi,,,Sun-dried,,Lake Malawi,Usipa,Engraulicypris sardella,,,,,,
L_001_D,L_001_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Epinephelus fuscoguttatus,,,,,,
L_002_D,L_002_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Aethaloperca rogaa,,,,,,
L_003_D,L_003_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Aethaloperca rogaa,,,,,,
L_004_D,L_004_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lutjanus gibbus,,,,,,
L_005_D,L_005_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lutjanus gibbus,,,,,,
L_006_D,L_006_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lutjanus gibbus,,,,,,
L_007_D,L_007_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lutjanus bohar,,,,,,
L_008_D,L_008_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lutjanus bohar,,,,,,
L_009_D,L_009_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lutjanus bohar,,,,,,
L_010_D,L_010_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lethrinidae sp.,,,,,,
L_011_D,L_011_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lethrinidae sp.,,,,,,
L_012_D,L_012_D,,2023,Lakshadweep,,,Sun-dried,,Coral reef,,Lethrinidae sp.,,,,,,
