sciname,common_name,genus,subfamily,family,order,class,superclass,phylum,kingdom,isscaap
mulinia edulis,taquilla clam,mulinia,NA,mactridae,venerida,bivalvia,NA,mollusca,animalia,NA
mullidae,"goatfishes, red mullets nei",NA,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mulloidichthys,soft goatfishes,mulloidichthys,NA,mullidae,mulliformes,teleostei,osteichthyes,chordata,animalia,NA
mulloidichthys flavolineatus,yellowstripe goatfish,mulloidichthys,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mulloidichthys martinicus,yellow goatfish,mulloidichthys,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mulloidichthys pfluegeri,orange goatfish,mulloidichthys,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mulloidichthys vanicolensis,yellowfin goatfish,mulloidichthys,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mullus,surmullets(=red mullets) nei,mullus,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mullus argentinae,argentine goatfish,mullus,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mullus barbatus,red mullet,mullus,NA,mullidae,mulliformes,teleostei,osteichthyes,chordata,animalia,NA
mullus surmuletus,surmullet,mullus,NA,mullidae,mulliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
munida,,munida,NA,munididae,decapoda,malacostraca,NA,arthropoda,animalia,"King crabs, squat-lobsters"
munida gregaria,swarming squat lobster,munida,NA,munididae,decapoda,malacostraca,NA,arthropoda,animalia,"King crabs, squat-lobsters"
munida rugosa,rugose squat lobster,munida,NA,munididae,decapoda,malacostraca,NA,arthropoda,animalia,"King crabs, squat-lobsters"
muraena,,muraena,muraeninae,muraenidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
muraena augusti,,muraena,muraeninae,muraenidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
muraena helena,mediterranean moray,muraena,muraeninae,muraenidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
muraenesocidae,pike congers,NA,NA,muraenesocidae,anguilliformes,teleostei,osteichthyes,chordata,animalia,NA
muraenesox,pike-congers nei,muraenesox,NA,muraenesocidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
muraenesox cinereus,daggertooth pike conger,muraenesox,NA,muraenesocidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
muraenidae,morays nei,NA,NA,muraenidae,anguilliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
muraenolepis,moray cods nei,muraenolepis,NA,muraenolepididae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
muraenolepis microps,smalleye moray cod,muraenolepis,NA,muraenolepididae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
murex,murex,murex,muricinae,muricidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
murex scolopax,scalloped murex,murex,muricinae,muricidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
muricidae,murex shells nei,NA,NA,muricidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
mustelus,smooth-hounds nei,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus antarcticus,gummy shark,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus asterias,starry smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus canis,dusky smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus henlei,brown smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus lenticulatus,spotted estuary smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus lunulatus,sicklefin smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus mento,speckled smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
mustelus mustelus,smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus punctulatus,blackspotted smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus schmitti,narrownose smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mustelus whitneyi,humpback smooth-hound,mustelus,triakinae,triakidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
mya arenaria,sand gaper,mya,NA,myidae,myida,bivalvia,NA,mollusca,animalia,"Clams, cockles, arkshells"
mycteroperca,brazilian groupers nei,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca acutirostris,comb grouper,mycteroperca,NA,epinephelidae,perciformes/serranoidei,teleostei,osteichthyes,chordata,animalia,NA
mycteroperca bonaci,black grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca fusca,island grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca interstitialis,yellowmouth grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca microlepis,gag,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca phenax,scamp,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca rubra,mottled grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca tigris,tiger grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca venenosa,yellowfin grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
mycteroperca xenarcha,broomtail grouper,mycteroperca,epinephelinae,serranidae,perciformes/serranoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myctophidae,lanternfishes nei,NA,NA,myctophidae,myctophiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
myctophum punctatum,spotted lanternfish,myctophum,myctophinae,myctophidae,myctophiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
myliobatidae,eagle and manta rays nei,NA,NA,myliobatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
myliobatis aquila,common eagle ray,myliobatis,NA,myliobatidae,myliobatiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
mylopharyngodon piceus,black carp,mylopharyngodon,NA,xenocyprididae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
mylossoma duriventre,silver mylossoma,mylossoma,colossomatinae,serrasalmidae,characiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
myoxocephalus,sculpins,myoxocephalus,NA,cottidae,perciformes/cottoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myoxocephalus quadricornis,fourhorn sculpin,myoxocephalus,NA,cottidae,perciformes/cottoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myoxocephalus scorpius,shorthorn sculpin,myoxocephalus,NA,cottidae,perciformes/cottoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis,soldierfishes nei,myripristis,myripristinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis adusta,shadowfin soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
myripristis amaena,brick soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
myripristis berndti,blotcheye soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis chryseres,yellowfin soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis jacobus,blackbar soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
myripristis kuntee,shoulderbar soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis murdjan,pinecone soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis violacea,lattice soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
myripristis vittata,whitetip soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
myripristis woodsi,whitespot soldierfish,myripristis,myripristinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
mystacoleucus padangensis,,mystacoleucus,cyprininae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
mystus nigriceps,,mystus,NA,bagridae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
mytilida,mussels,NA,NA,NA,mytilida,bivalvia,NA,mollusca,animalia,NA
mytilidae,sea mussels nei,NA,NA,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilinae,saltwater mussels,NA,NA,NA,NA,NA,NA,NA,NA,Mussels
mytilus,edible sea mussels,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,NA
mytilus californianus,californian mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus chilensis,chilean mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus coruscus,korean mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus edulis,blue mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus galloprovincialis,mediterranean mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus planulatus,australian mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus platensis,river plata mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,Mussels
mytilus unguiculatus,korean mussel,mytilus,mytilinae,mytilidae,mytilida,bivalvia,NA,mollusca,animalia,NA
myxine glutinosa,hagfish,myxine,myxininae,myxinidae,myxiniformes,myxini,agnatha,chordata,animalia,Miscellaneous coastal fishes
myxinidae,hagfishes nei,NA,NA,myxinidae,myxiniformes,myxini,agnatha,chordata,animalia,Miscellaneous coastal fishes
myxus elongatus,sand grey mullet,myxus,NA,mugilidae,mugiliformes,teleostei,osteichthyes,chordata,animalia,NA
myzopsetta ferruginea,yellowtail flounder,myzopsetta,pleuronectinae,pleuronectidae,pleuronectiformes,teleostei,osteichthyes,chordata,animalia,NA
naso,unicornfishes,naso,nasinae,acanthuridae,acanthuriformes,teleostei,osteichthyes,chordata,animalia,NA
naso annulatus,whitemargin unicornfish,naso,nasinae,acanthuridae,acanthuriformes,teleostei,osteichthyes,chordata,animalia,NA
naso brevirostris,spotted unicornfish,naso,nasinae,acanthuridae,acanthuriformes,teleostei,osteichthyes,chordata,animalia,NA
naso caesius,gray unicornfish,naso,nasinae,acanthuridae,acanthuriformes,teleostei,osteichthyes,chordata,animalia,NA
naso hexacanthus,sleek unicornfish,naso,nasinae,acanthuridae,acanthuriformes,teleostei,osteichthyes,chordata,animalia,NA
naso lituratus,orangespine unicornfish,naso,nasinae,acanthuridae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
naso unicornis,bluespine unicornfish,naso,nasinae,acanthuridae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
naso vlamingii,bignose unicornfish,naso,nasinae,acanthuridae,acanthuriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nasolamia velox,whitenose shark,nasolamia,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
nassarius,,nassarius,NA,nassariidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
nassarius mutabilis,changeable nassa,nassarius,NA,nassariidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
nassarius reticulatus,netted nassa,nassarius,NA,nassariidae,neogastropoda,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
naucrates ductor,pilotfish,naucrates,naucratinae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
nebris microps,smalleye croaker,nebris,NA,sciaenidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
nebrius ferrugineus,tawny nurse shark,nebrius,NA,ginglymostomatidae,orectolobiformes,elasmobranchii,chondrichthyes,chordata,animalia,NA
necora puber,velvet swimcrab,necora,NA,portunidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
negaprion brevirostris,lemon shark,negaprion,NA,carcharhinidae,carcharhiniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
nemadactylus,morwongs,nemadactylus,NA,latridae,centrarchiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
nemadactylus bergi,castaneta,nemadactylus,NA,latridae,centrarchiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
nemadactylus douglasii,porae,nemadactylus,NA,latridae,centrarchiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
nemadactylus gayi,bilagay,nemadactylus,NA,latridae,centrarchiformes,teleostei,osteichthyes,chordata,animalia,NA
nemadactylus macropterus,tarakihi,nemadactylus,NA,latridae,centrarchiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
nematalosa nasus,bloch's gizzard shad,nematalosa,dorosomatinae,clupeidae,clupeiformes,actinopterygii,osteichthyes,chordata,animalia,Shads
nematocarcinus africanus,african spider shrimp,nematocarcinus,NA,nematocarcinidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
nematopalaemon hastatus,west african estuarine prawn,nematopalaemon,NA,palaemonidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
nematopalaemon schmitti,whitebelly prawn,nematopalaemon,NA,palaemonidae,decapoda,malacostraca,NA,arthropoda,animalia,"Shrimps, prawns"
nematoscelis megalops,,nematoscelis,NA,euphausiidae,euphausiacea,malacostraca,NA,arthropoda,animalia,"Krill, planktonic crustaceans"
nemipteridae,threadfin and dwarf breams nei,NA,NA,nemipteridae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nemipterus,threadfin breams nei,nemipterus,NA,nemipteridae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nemipterus hexodon,ornate threadfin bream,nemipterus,NA,nemipteridae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
nemipterus japonicus,japanese threadfin bream,nemipterus,NA,nemipteridae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nemipterus randalli,randall's threadfin bream,nemipterus,NA,nemipteridae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nemipterus virgatus,golden threadfin bream,nemipterus,NA,nemipteridae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nemopilema nomurai,nomura jelly,nemopilema,NA,rhizostomatidae,rhizostomeae,scyphozoa,NA,cnidaria,animalia,NA
neocaridina denticulata,sawtooth caridina,neocaridina,NA,atyidae,decapoda,malacostraca,NA,arthropoda,animalia,Freshwater crustaceans
neocyttus rhomboidalis,spiky oreo,neocyttus,oreosomatinae,oreosomatidae,zeiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
neogastropoda,lightning whelk,NA,NA,NA,neogastropoda,gastropoda,NA,mollusca,animalia,NA
neogobius melanostomus,round goby,neogobius,gobiinae,gobiidae,gobiiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
neolissochilus hexagonolepis,copper mahseer,neolissochilus,torinae,cyprinidae,cypriniformes,actinopterygii,osteichthyes,chordata,animalia,"Carps, barbels and other cyprinids"
neomerinthe hemingwayi,spinycheek scorpionfish,neomerinthe,scorpaeninae,scorpaenidae,perciformes/scorpaenoidei,teleostei,osteichthyes,chordata,animalia,NA
neomyxus leuciscus,acute-jawed mullet,neomyxus,NA,mugilidae,mugiliformes,teleostei,osteichthyes,chordata,animalia,NA
neoniphon marianus,longjaw squirrelfish,neoniphon,holocentrinae,holocentridae,holocentriformes,teleostei,osteichthyes,chordata,animalia,NA
neopagetopsis ionah,jonah's icefish,neopagetopsis,NA,channichthyidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
nephropidae,clawed lobsters,NA,NA,nephropidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
nephrops norvegicus,norway lobster,nephrops,NA,nephropidae,decapoda,malacostraca,NA,arthropoda,animalia,"Lobsters, spiny-rock lobsters"
nerita,,nerita,NA,neritidae,neritopsina,gastropoda,NA,mollusca,animalia,"Abalones, winkles, conchs"
neritidae,nerites snails,NA,NA,neritidae,cycloneritida,gastropoda,NA,mollusca,animalia,NA
netuma thalassina,giant catfish,netuma,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nezumia aequalis,common atlantic grenadier,nezumia,NA,macrouridae,gadiformes,actinopterygii,osteichthyes,chordata,animalia,"Cods, hakes, haddocks"
nibea albiflora,yellow drum,nibea,NA,sciaenidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
nibea mitsukurii,honnibe croaker,nibea,NA,sciaenidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
niphon spinosus,ara,niphon,NA,niphonidae,perciformes/percoidei,teleostei,osteichthyes,chordata,animalia,NA
normanichthys crockeri,mote sculpin,normanichthys,NA,normanichthyidae,perciformes/scorpaenoidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
notacanthus sexspinis,spiny-back eel,notacanthus,NA,notacanthidae,notacanthiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
notarius grandicassis,thomas sea catfish,notarius,ariinae,ariidae,siluriformes,teleostei,osteichthyes,chordata,animalia,NA
notarius troschelii,chili sea catfish,notarius,ariinae,ariidae,siluriformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
notolepis,barracudinas nei,notolepis,NA,paralepididae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
notolepis coatsorum,antarctic jonasfish,notolepis,NA,paralepididae,aulopiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
notolychnus valdiviae,,notolychnus,notolychninae,myctophidae,myctophiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
notopogon lilliei,crested bellowfish,notopogon,macroramphosinae,centriscidae,syngnathiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
notopterus,knifefishes,notopterus,notopterinae,notopteridae,osteoglossiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
notopterus notopterus,bronze featherback,notopterus,notopterinae,notopteridae,osteoglossiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
notorynchus cepedianus,broadnose sevengill shark,notorynchus,NA,hexanchidae,hexanchiformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
notoscopelus,patchwork lampfishes,notoscopelus,gymnoscopelinae,myctophidae,myctophiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous demersal fishes
notothenia coriiceps,black rockcod,notothenia,nototheniinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
notothenia microlepidota,black cod,notothenia,nototheniinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
notothenia neglecta,yellowbelly rockcod,notothenia,nototheniinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
notothenia rossii,marbled rockcod,notothenia,nototheniinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nototheniidae,"antarctic rockcods, noties nei",NA,NA,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nototheniops larseni,painted notie,nototheniops,nototheniinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nototheniops mizops,toad notie,nototheniops,nototheniinae,nototheniidae,perciformes/notothenioidei,teleostei,osteichthyes,chordata,animalia,NA
nototheniops nudifrons,yellowfin notie,nototheniops,nototheniinae,nototheniidae,perciformes/notothenioidei,teleostei,osteichthyes,chordata,animalia,NA
nototheniops nybelini,,nototheniops,nototheniinae,nototheniidae,perciformes/notothenioidei,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
nototodarus gouldi,gould's flying squid,nototodarus,todarodinae,ommastrephidae,oegopsida,cephalopoda,NA,mollusca,animalia,NA
nototodarus sloanii,wellington flying squid,nototodarus,todarodinae,ommastrephidae,teuthida,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
novaculichthys taeniourus,rockmover wrasse,novaculichthys,cheilininae,labridae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
oblada melanura,saddled seabream,oblada,NA,sparidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
oblada melanurus,saddled seabream,oblada,NA,sparidae,eupercaria/misc,teleostei,osteichthyes,chordata,animalia,NA
octopoda,"octopuses, argonauts",NA,NA,NA,octopoda,cephalopoda,NA,mollusca,animalia,NA
octopodidae,"octopuses, etc. nei",NA,NA,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
octopus,octopuses nei,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
octopus briareus,caribbean reef octopus,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,NA
octopus cyanea,big blue octopus,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,NA
octopus joubini,pygmy octopus,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
octopus maya,mexican four-eyed octopus,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
octopus salutii,spider octopus,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
octopus vulgaris,common octopus,octopus,octopodinae,octopodidae,octopoda,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
ocypode,,ocypode,NA,ocypodidae,decapoda,malacostraca,NA,arthropoda,animalia,"Crabs, sea-spiders"
ocypode cursor,tufted ghost crab,ocypode,NA,ocypodidae,decapoda,malacostraca,NA,arthropoda,animalia,NA
ocyurus chrysurus,yellowtail snapper,ocyurus,lutjaninae,lutjanidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
odax pullus,"butterfish, greenbone",odax,NA,odacidae,eupercaria/misc,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
odontamblyopus rubicundus,rubicundus eelgoby,odontamblyopus,amblyopinae,gobiidae,gobiiformes,teleostei,osteichthyes,chordata,animalia,NA
odontaspis ferox,smalltooth sand tiger,odontaspis,NA,odontaspididae,lamniformes,elasmobranchii,chondrichthyes,chordata,animalia,"Sharks, rays, chimaeras"
odontesthes bonariensis,argentinian silverside,odontesthes,atherinopsinae,atherinopsidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous freshwater fishes
odontesthes regia,chilean silverside,odontesthes,atherinopsinae,atherinopsidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
odontesthes smitti,,odontesthes,atherinopsinae,atherinopsidae,atheriniformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
odontocymbiola magellanica,magellanic volute,odontocymbiola,NA,volutidae,neogastropoda,gastropoda,NA,mollusca,animalia,NA
odontognathus mucronatus,guiana longfin herring,odontognathus,NA,pristigasteridae,clupeiformes,teleostei,osteichthyes,chordata,animalia,NA
odonus niger,red-toothed triggerfish,odonus,NA,balistidae,tetraodontiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
oedalechilus labeo,boxlip mullet,oedalechilus,NA,mugilidae,mugiliformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous coastal fishes
ogcocephalus,batfishes,ogcocephalus,NA,ogcocephalidae,lophiiformes,teleostei,osteichthyes,chordata,animalia,NA
oligoplites altus,longjaw leatherjacket,oligoplites,scomberoidinae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
oligoplites palometa,maracaibo leatherjacket,oligoplites,scomberoidinae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
oligoplites refulgens,shortjaw leatherjacket,oligoplites,scomberoidinae,carangidae,carangiformes,actinopterygii,osteichthyes,chordata,animalia,Miscellaneous pelagic fishes
oligoplites saurus,leatherjacket,oligoplites,scomberoidinae,carangidae,carangiformes,teleostei,osteichthyes,chordata,animalia,NA
ommastrephes,flying squids nei,ommastrephes,NA,ommastrephidae,teuthida,cephalopoda,NA,mollusca,animalia,"Squids, cuttlefishes, octopuses"
